0,1,2,3,4,5,6,7,8,9,10,11,12
반번호,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,,,
1,60.1,56.9,,,75.1,60.8,44.0,11.8,85.7,,,
2,23.7,,,86.4,,,82.3,15.2,,,,
3,57.0,90.7,,52.6,,87.6,,65.2,,,,
4,15.6,27.2,,,91.8,20.2,16.1,,57.0,,,
5,,81.8,31.9,20.1,90.7,56.6,77.9,,,,,
6,11.6,57.1,51.5,,81.7,95.0,24.7,20.2,20.2,,,
7,,,26.9,,90.7,73.8,72.4,35.2,100.0,,,
8,60.2,60.7,91.0,,43.5,,72.8,15.5,39.0,,,
9,100.0,82.8,,90.0,48.4,73.6,31.6,,19.5,,,
10,,81.8,,85.7,40.2,,15.2,48.1,,,,
11,20.1,82.5,48.9,31.8,,20.2,73.3,73.6,30.7,,,
12,90.7,82.7,,,,78.7,11.8,70.6,,,,
13,,11.8,60.8,73.0,87.0,69.5,77.4,8.0,58.4,,,
14,20.2,86.4,16.4,,,,,20.2,,,,
15,,83.3,,59.8,81.5,,,72.2,76.7,,,
16,,60.9,87.0,11.8,40.0,56.5,69.7,95.0,,,,
17,70.4,,60.4,78.0,24.1,19.7,61.7,,,,,
18,,37.6,,31.8,19.3,20.0,,82.5,,,,
19,,,86.7,77.2,,73.5,15.6,,15.2,,,
20,28.2,,50.9,47.8,15.2,73.0,,83.0,12.5,,,
21,,60.6,91.3,83.3,56.0,40.1,68.7,,,,,
22,66.5,62.1,81.8,,,95.0,47.4,91.6,100.0,,,
23,64.6,,,86.7,30.9,47.7,15.2,,65.2,,,
24,20.2,,46.9,,95.7,11.8,,69.4,56.4,,,
25,,61.3,47.6,23.5,39.1,,81.7,,60.7,,,
26,64.2,51.7,,23.0,73.8,27.7,,,28.1,,,
27,56.3,,40.0,60.3,36.1,40.5,73.4,,19.5,,,
28,27.7,,91.6,,81.5,51.5,,15.5,,,,
29,61.0,,70.2,86.5,73.9,,15.2,,19.8,,,
30,47.6,,,,,,,,,,,
